param, seed, node, throughput_bits, throughput_packets, loss_rate, collision_rate
0.0489130434783, 6, 8, 2992874.98404, 158.766666667, 0.0, 0.0298401059171
0.0489130434783, 6, 9, 769999.185008, 40.9166666667, 0.0, 0.0
0.0489130434783, 7, 0, 3061744.75751, 160.95, 0.0, 0.0230652503794
0.0489130434783, 7, 1, 1549849.37147, 81.1666666667, 0.0, 0.0218919461739
0.0489130434783, 7, 2, 3107271.04918, 163.233333333, 0.0, 0.0114060765116
0.0489130434783, 7, 3, 1474487.09738, 79.4666666667, 0.0, 0.0245499181669
0.0489130434783, 7, 4, 3742854.30504, 198.066666667, 0.0, 0.0382778991665
0.0489130434783, 7, 5, 3673141.40698, 194.733333333, 0.0, 0.0479139504563
0.0489130434783, 7, 6, 1580506.14057, 81.9, 0.0, 0.0
0.0489130434783, 7, 7, 791634.2014, 41.0833333333, 0.0, 0.0
0.0489130434783, 7, 8, 3035639.68296, 159.15, 0.0, 0.0356493637649
0.0489130434783, 7, 9, 762084.344985, 40.35, 0.0, 0.0
0.0489130434783, 8, 0, 3034829.97537, 160.283333333, 0.0, 0.0160630243503
0.0489130434783, 8, 1, 1525739.20296, 80.0, 0.0, 0.0226023213195
0.0489130434783, 8, 2, 3055970.36236, 162.316666667, 0.0, 0.00945890968267
0.0489130434783, 8, 3, 1505791.64157, 79.8833333333, 0.0, 0.0212374923423
0.0489130434783, 8, 4, 3755478.82692, 198.65, 0.0, 0.028843803471
0.0489130434783, 8, 5, 3657767.17714, 195.55, 0.0, 0.0452437138905
0.0489130434783, 8, 6, 1531982.15212, 81.8166666667, 0.0, 0.0
0.0489130434783, 8, 7, 766870.697272, 41.3333333333, 0.0, 0.0
0.0489130434783, 8, 8, 2963429.12712, 157.9, 0.0, 0.0329692763091
0.0489130434783, 8, 9, 774121.0605, 41.5333333333, 0.0, 0.0
0.0489130434783, 9, 0, 3046292.13293, 160.216666667, 0.0, 0.0235652615541
0.0489130434783, 9, 1, 1508921.43253, 79.5833333333, 0.0, 0.0259077927377
0.0489130434783, 9, 2, 3069293.07041, 161.516666667, 0.0, 0.0117275137671
0.0489130434783, 9, 3, 1531804.75012, 80.4, 0.0, 0.0191134607564
0.0489130434783, 9, 4, 3722875.95086, 197.35, 0.0, 0.03942565101
0.0489130434783, 9, 5, 3689922.85087, 195.45, 0.0, 0.0434747145188
0.0489130434783, 9, 6, 1539151.12389, 81.3333333333, 0.0, 0.0
0.0489130434783, 9, 7, 789900.228999, 41.55, 0.0, 0.0
0.0489130434783, 9, 8, 3010265.43019, 158.566666667, 0.0, 0.0362641815235
0.0489130434783, 9, 9, 770312.339604, 40.65, 0.0, 0.0
0.0489130434783, 10, 0, 3061819.36126, 159.966666667, 0.0, 0.0287391216353
0.0489130434783, 10, 1, 1537972.51049, 80.2166666667, 0.0, 0.0266936299292
0.0489130434783, 10, 2, 3141619.33356, 163.966666667, 0.0, 0.010460671897
0.0489130434783, 10, 3, 1543755.65934, 81.5333333333, 0.0, 0.0184590690209
0.0489130434783, 10, 4, 3791845.97118, 198.7, 0.0, 0.0394779245891
0.0489130434783, 10, 5, 3730466.64322, 196.333333333, 0.0, 0.046925566343
0.0489130434783, 10, 6, 1593818.30805, 82.7333333333, 0.0, 0.0
0.0489130434783, 10, 7, 774366.162421, 40.9166666667, 0.0, 0.0
0.0489130434783, 10, 8, 3019607.84703, 158.433333333, 0.0, 0.033746696483
0.0489130434783, 10, 9, 785928.4088, 41.0666666667, 0.0, 0.0
0.0489130434783, 11, 0, 3042914.76395, 160.916666667, 0.0, 0.0222784810127
0.0489130434783, 11, 1, 1540270.72552, 80.8, 0.0, 0.025527638191
0.0489130434783, 11, 2, 3134547.30647, 162.5, 0.0, 0.0109555690809
0.0489130434783, 11, 3, 1517641.80831, 79.0, 0.0, 0.0222772277228
0.0489130434783, 11, 4, 3746679.89923, 197.333333333, 0.0, 0.0358306188925
0.0489130434783, 11, 5, 3698591.78312, 194.733333333, 0.0, 0.0426089806621
0.0489130434783, 11, 6, 1580127.31127, 81.7833333333, 0.0, 0.0
0.0489130434783, 11, 7, 804059.271573, 41.4666666667, 0.0, 0.0
0.0489130434783, 11, 8, 3052761.53913, 160.216666667, 0.0, 0.0312405522523
0.0489130434783, 11, 9, 750843.969867, 40.3666666667, 0.0, 0.0
0.0489130434783, 12, 0, 3012129.70622, 159.833333333, 0.0, 0.0248118771609
0.0489130434783, 12, 1, 1518035.22819, 79.5166666667, 0.0, 0.0249335785816
0.0489130434783, 12, 2, 3065237.46772, 161.433333333, 0.0, 0.0118343195266
0.0489130434783, 12, 3, 1501978.75191, 79.5166666667, 0.0, 0.0219352193522
0.0489130434783, 12, 4, 3729144.92272, 197.55, 0.0, 0.0381400632963
0.0489130434783, 12, 5, 3678501.46917, 195.766666667, 0.0, 0.0465135157074
0.0489130434783, 12, 6, 1549387.03692, 81.45, 0.0, 0.0
0.0489130434783, 12, 7, 765594.761752, 40.4833333333, 0.0, 0.0
0.0489130434783, 12, 8, 2984247.00802, 158.0, 0.0, 0.0325543422798
0.0489130434783, 12, 9, 784508.260569, 41.2833333333, 0.0, 0.0
0.0489130434783, 13, 0, 3047862.15349, 160.316666667, 0.0, 0.0184693877551
0.0489130434783, 13, 1, 1526203.28512, 79.6333333333, 0.0, 0.0260905014268
0.0489130434783, 13, 2, 3106392.97208, 163.333333333, 0.0, 0.0100010102031
0.0489130434783, 13, 3, 1522591.75266, 80.5333333333, 0.0, 0.0236411396242
0.0489130434783, 13, 4, 3745864.24862, 198.616666667, 0.0, 0.0340439328848
0.0489130434783, 13, 5, 3725706.98769, 196.85, 0.0, 0.0454214822598
0.0489130434783, 13, 6, 1560996.40239, 82.0, 0.0, 0.0
0.0489130434783, 13, 7, 771081.476104, 40.4333333333, 0.0, 0.0
0.0489130434783, 13, 8, 2987947.07421, 157.083333333, 0.0, 0.0368894338851
0.0489130434783, 13, 9, 800253.468929, 41.4166666667, 0.0, 0.0
0.0489130434783, 14, 0, 3029490.20218, 160.383333333, 0.0, 0.0230456852792
0.0489130434783, 14, 1, 1512985.585, 80.35, 0.0, 0.0238914760073
0.0489130434783, 14, 2, 3069153.87799, 162.183333333, 0.0, 0.0119809117677
0.0489130434783, 14, 3, 1545098.71051, 79.75, 0.0, 0.0256566890654
0.0489130434783, 14, 4, 3739487.26694, 197.466666667, 0.0, 0.0379212342672
0.0489130434783, 14, 5, 3687722.8841, 194.533333333, 0.0, 0.0473392099249
0.0489130434783, 14, 6, 1535152.7651, 81.7833333333, 0.0, 0.0
0.0489130434783, 14, 7, 765670.498485, 39.6666666667, 0.0, 0.0
0.0489130434783, 14, 8, 2974618.70789, 157.116666667, 0.0, 0.0329298317604
0.0489130434783, 14, 9, 792765.930335, 40.6833333333, 0.0, 0.0
0.0489130434783, 15, 0, 3049940.12233, 160.0, 0.0, 0.0250837818625
0.0489130434783, 15, 1, 1512544.34697, 79.9833333333, 0.0, 0.0216106014271
0.0489130434783, 15, 2, 3089630.612, 161.5, 0.0, 0.0136400651466
0.0489130434783, 15, 3, 1518583.09696, 79.4833333333, 0.0, 0.0223452234522
0.0489130434783, 15, 4, 3710310.27918, 195.9, 0.0, 0.0407247204766
0.0489130434783, 15, 5, 3707762.82374, 195.216666667, 0.0, 0.0456286156604
0.0489130434783, 15, 6, 1571437.86589, 82.0, 0.0, 0.0
0.0489130434783, 15, 7, 786756.080587, 40.9833333333, 0.0, 0.0
0.0489130434783, 15, 8, 2989397.87041, 157.55, 0.0, 0.0390362915523
0.0489130434783, 15, 9, 779754.551283, 40.8166666667, 0.0, 0.0
0.0489130434783, 16, 0, 3044502.43372, 160.783333333, 0.0, 0.0218008517542
0.0489130434783, 16, 1, 1514316.10093, 79.9, 0.0, 0.0208333333333
0.0489130434783, 16, 2, 3082148.47431, 161.85, 0.0, 0.0128087831656
0.0489130434783, 16, 3, 1499221.52273, 79.4, 0.0, 0.0243702641819
0.0489130434783, 16, 4, 3743023.0539, 197.45, 0.0, 0.0371423927178
0.0489130434783, 16, 5, 3649831.5239, 193.25, 0.0, 0.0498238138163
0.0489130434783, 16, 6, 1567236.03239, 82.0333333333, 0.0, 0.0
0.0489130434783, 16, 7, 783784.677551, 41.3833333333, 0.0, 0.0
0.0489130434783, 16, 8, 2997162.99475, 158.783333333, 0.0, 0.0324972072713
0.0489130434783, 16, 9, 754998.321178, 39.95, 0.0, 0.0
0.0489130434783, 17, 0, 2998203.1268, 160.016666667, 0.0, 0.0244868929079
0.0489130434783, 17, 1, 1512804.69227, 80.45, 0.0, 0.0202963263649
0.0489130434783, 17, 2, 3082551.14407, 162.483333333, 0.0, 0.0107559614409
0.0489130434783, 17, 3, 1536738.88656, 80.2333333333, 0.0, 0.0255060728745
0.0489130434783, 17, 4, 3743887.107, 198.1, 0.0, 0.0383495145631
0.0489130434783, 17, 5, 3701002.6189, 195.9, 0.0, 0.0474106491612
0.0489130434783, 17, 6, 1551084.53115, 82.0666666667, 0.0, 0.0
0.0489130434783, 17, 7, 783712.493167, 40.7, 0.0, 0.0
0.0489130434783, 17, 8, 2962841.45224, 157.7, 0.0, 0.0369465648855
0.0489130434783, 17, 9, 786229.293339, 41.3666666667, 0.0, 0.0
0.0489130434783, 18, 0, 3015761.71311, 159.883333333, 0.0, 0.0207227439771
0.0489130434783, 18, 1, 1485324.85753, 79.1666666667, 0.0, 0.0276356192426
0.0489130434783, 18, 2, 3062324.12284, 161.7, 0.0, 0.0150253807107
0.0489130434783, 18, 3, 1512195.8412, 80.3166666667, 0.0, 0.0195320447609
0.0489130434783, 18, 4, 3705912.46124, 196.916666667, 0.0, 0.0362182886043
0.0489130434783, 18, 5, 3687082.0703, 195.083333333, 0.0, 0.051304911655
0.0489130434783, 18, 6, 1591522.03463, 82.6833333333, 0.0, 0.0
0.0489130434783, 18, 7, 779208.522443, 40.8833333333, 0.0, 0.0
0.0489130434783, 18, 8, 2968801.84696, 157.75, 0.0, 0.0337893017558
0.0489130434783, 18, 9, 788828.88239, 41.3166666667, 0.0, 0.0
